"","Date","Team","Acquired","Relinquished","Notes"
"41105","2018-03-27","Heat",""," Edrice Adebayo / Bam Adebayo","placed on IL with sprained right ankle"
"51105","2018-03-27","Heat"," Derrick Jones Jr.","","activated from IL"
"61105","2018-03-27","Jazz"," Tony Bradley","","activated from IL"
"71105","2018-03-27","Kings"," JaKarr Sampson","","activated from IL"
"81105","2018-03-27","Kings"," Zach Randolph","","activated from IL"
"91105","2018-03-27","Mavericks",""," Dorian Finney-Smith","placed on IL for rest"
"101105","2018-03-27","Mavericks"," Jalen Jones","","activated from IL"
"111105","2018-03-27","Mavericks"," Johnathan Motley","","activated from IL"
"121105","2018-03-27","Pacers",""," Alex Poythress","placed on IL"
"131105","2018-03-27","Pacers"," Domantas Sabonis / Domas Sabonis","","activated from IL"
"141105","2018-03-27","Rockets",""," James Harden","placed on IL with sore right hand"
"151105","2018-03-27","Rockets",""," Luc Richard Mbah a Moute / Luc Mbah a Moute","placed on IL with sore left knee"
"161105","2018-03-27","Rockets"," Ryan Anderson","","activated from IL"
"171105","2018-03-27","Blazers",""," Maurice Harkless / Moe Harkless","placed on IL recovering from surgery on left knee"
"181105","2018-03-28","Cavaliers"," Cedi Osman","","activated from IL"
"191105","2018-03-28","Lakers"," Brandon Ingram","","activated from IL"
"201105","2018-03-29","Bulls",""," Cristiano Felicio","placed on IL with sore lower back"
"211351","2018-03-29","Heat",""," Derrick Jones Jr.","placed on IL"
"221182","2018-03-29","Heat",""," Luke Babbitt","placed on IL"
"231105","2018-03-29","Heat"," Edrice Adebayo / Bam Adebayo","","activated from IL"
"241105","2018-03-29","Heat"," Hassan Whiteside","","activated from IL"
"251105","2018-03-29","Pacers"," Alex Poythress","","activated from IL"
"261105","2018-03-29","Pistons",""," Blake Griffin","placed on IL with bruised right ankle (out for season)"
"24083","2018-03-29","Pistons"," Jameer Nelson","","activated from IL"
"31106","2018-03-29","Warriors"," Draymond Green","","activated from IL"
"41106","2018-03-29","Warriors"," Kevin Durant","","activated from IL"
"51106","2018-03-29","Pacers"," Trevor Booker","","activated from IL"
"61106","2018-03-29","Pacers",""," Trevor Booker","placed on IL"
"71106","2018-03-30","76ers",""," Demetrius Jackson","placed on IL"
"81106","2018-03-30","76ers",""," Joel Embiid","placed on IL with fractured left orbital bone / concussion"
"91106","2018-03-30","76ers"," Amir Johnson","","activated from IL"
"101106","2018-03-30","76ers"," Justin Anderson","","activated from IL"
"111106","2018-03-30","Blazers",""," Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis","placed on IL"
"121106","2018-03-30","Blazers"," Damian Lillard","","activated from IL"
"131106","2018-03-30","Bucks",""," John Henson","placed on IL with sprained right finger"
"141106","2018-03-30","Bucks"," Xavier Munford","","activated from IL"
"151106","2018-03-30","Bulls"," Cristiano Felicio","","activated from IL"
"161106","2018-03-30","Cavaliers",""," London Perrantes","placed on IL"
"171106","2018-03-30","Cavaliers"," Kevin Love","","activated from IL"
"181106","2018-03-30","Clippers"," Danilo Gallinari","","activated from IL"
"191106","2018-03-30","Grizzlies",""," Andrew Harrison","placed on IL with right wrist injury (out for season)"
"201106","2018-03-30","Grizzlies"," Ivan Rabb","","activated from IL"
"211352","2018-03-30","Lakers",""," Thomas Bryant","placed on IL"
"221183","2018-03-30","Lakers",""," Travis Wear","placed on IL"
"231106","2018-03-30","Lakers"," Josh Hart","","activated from IL"
"241106","2018-03-30","Rockets",""," Nene / Nene Hilario / Maybyner Hilario","placed on IL with sore lower back"
"251106","2018-03-30","Rockets",""," R.J. Hunter","placed on IL"
"261106","2018-03-30","Rockets",""," Zhou Qi / Qi Zhou","placed on IL"
"24084","2018-03-30","Rockets"," James Harden","","activated from IL"
"31107","2018-03-30","Rockets"," Luc Richard Mbah a Moute / Luc Mbah a Moute","","activated from IL"
"41107","2018-03-31","Celtics",""," Shane Larkin","placed on IL with illness"
"51107","2018-03-31","Celtics"," Marcus Morris","","activated from IL"
"61107","2018-03-31","Kings"," Jack Cooley","","activated from IL"
"71107","2018-03-31","Knicks",""," Enes Kanter","placed on IL with sore lower back (out for season)"
"81107","2018-03-31","Knicks"," Kyle O'Quinn","","activated from IL"
"91107","2018-03-31","Warriors",""," Andre Iguodala","placed on IL with sore left knee"
"101107","2018-03-31","Wizards"," John Wall (Hildred)","","activated from IL"
"111107","2018-04-01","76ers",""," Dario Saric","placed on IL with sore right elbow"
"121107","2018-04-01","76ers"," Demetrius Jackson","","activated from IL"
"131107","2018-04-01","Blazers",""," Ed Davis (Adam)","placed on IL with right ankle injury"
"141107","2018-04-01","Blazers"," Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis","","activated from IL"
"151107","2018-04-01","Bucks",""," Xavier Munford","placed on IL"
"161107","2018-04-01","Bucks"," John Henson","","activated from IL"
"171107","2018-04-01","Cavaliers",""," George Hill","placed on IL with sprained left ankle"
"181107","2018-04-01","Cavaliers"," London Perrantes","","activated from IL"
"191107","2018-04-01","Hawks",""," Dennis Schroder","placed on IL with sprained left ankle (out for season)"
"201107","2018-04-01","Hawks"," DeAndre' Bembry / DeAndre Bembry","","activated from IL"
"211353","2018-04-01","Hornets",""," Treveon Graham","placed on IL with concussion (out for season)"
"221184","2018-04-01","Lakers",""," Brandon Ingram","placed on IL with concussion (out for season)"
"231107","2018-04-01","Lakers"," Travis Wear","","activated from IL"
"241107","2018-04-01","Mavericks",""," Jalen Jones","placed on IL"
"251107","2018-04-01","Mavericks"," Salah Mejri","","activated from IL"
"261107","2018-04-01","Nuggets",""," Wilson Chandler","placed on IL with fractured nose"
"24085","2018-04-01","Nuggets"," Kenneth Faried","","activated from IL"
"31108","2018-04-01","Pacers",""," Alex Poythress","placed on IL"
"41108","2018-04-01","Pacers"," Trevor Booker","","activated from IL"
"51108","2018-04-01","Timberwolves"," Cole Aldrich","","activated from IL"
"61108","2018-04-01","Timberwolves"," Derrick Rose","","activated from IL"
"71108","2018-04-01","Warriors",""," Patrick McCaw","placed on IL with bruised lumbar spine"
"81108","2018-04-01","Warriors"," Klay Thompson","","activated from IL"
"91108","2018-04-03","76ers"," Amir Johnson","","activated from IL"
"101108","2018-04-03","Bucks"," Thon Maker","","activated from IL"
"111108","2018-04-03","Bulls",""," Denzel Valentine","placed on IL recovering from surgery on left knee (out for season)"
"121108","2018-04-03","Cavaliers",""," London Perrantes","placed on IL"
"131108","2018-04-03","Cavaliers"," Kyle Korver","","activated from IL"
